train_sharpe,train_annual_return,train_crisis_return,z,th,sw,sth,ddw,ddt,cw,val_sharpe,val_annual_return,val_crisis_return,selection_score
0.4414991459405367,0.059876096690191005,-0.00844010681048979,10,2.0,40,-0.05,50,-0.05,0.3,0.7300936156541105,0.10892817872485394,-0.6035230131700604,0.36935052851214323
0.4395083599015206,0.0595306160367417,-0.009346419410894091,10,2.0,40,-0.05,50,-0.05,0.4,0.7266020245344424,0.10829681882311393,-0.6042954898681032,0.36773494374329013
0.4433102685163405,0.06019578105945511,-0.008072310414877881,10,2.0,40,-0.05,100,-0.03,0.2,0.7334450453145527,0.10952941026113838,-0.602220399771932,0.37077657431678746
0.4415208744813177,0.05988422347460065,-0.008889711636559605,10,2.0,40,-0.05,100,-0.03,0.3,0.7301056811620351,0.10892065228038894,-0.6029811604909545,0.36937467281113834
0.4396347359819302,0.0595564449118009,-0.00974920213981012,10,2.0,40,-0.05,100,-0.03,0.4,0.7266253671337544,0.10829102379009448,-0.6037890894750435,0.36788707819397415
0.4433102685163405,0.06019578105945511,-0.008072310414877881,10,2.0,40,-0.05,100,-0.05,0.2,0.7334450453145527,0.10952941026113838,-0.602220399771932,0.37077657431678746
0.4415208744813177,0.05988422347460065,-0.008889711636559605,10,2.0,40,-0.05,100,-0.05,0.3,0.7301056811620351,0.10892065228038894,-0.6029811604909545,0.36937467281113834
0.4396347359819302,0.0595564449118009,-0.00974920213981012,10,2.0,40,-0.05,100,-0.05,0.4,0.7266253671337544,0.10829102379009448,-0.6037890894750435,0.36788707819397415
0.4438445922089625,0.06028247151021371,-0.0073733655327108405,10,2.0,60,-0.03,50,-0.03,0.2,0.735055603192144,0.10981661302133827,-0.5990100617902658,0.3710418394631671
0.4426984948007619,0.06008080098254287,-0.007902846582503842,10,2.0,60,-0.03,50,-0.03,0.3,0.7320753437923724,0.10926714111069069,-0.5979373242152639,0.3703542825528593
